drug_name,conc,ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
bepridil,0,2704,0.6954,NA,NA,NA,NA,2371,1.984,1947,1.473,NA,NA,139.1,3.199
bepridil,0,2818,0.6409,NA,NA,NA,NA,2734,1.225,1802,1.212,NA,NA,181.4,2.77
bepridil,0,3939,0.718,NA,NA,NA,NA,3064,1.108,1921,1.421,NA,NA,194.8,0.8339
bepridil,0,2077,0.7295,NA,NA,NA,NA,2681,1.236,2019,1.19,NA,NA,100.3,1.004
bepridil,0,2568,0.704,NA,NA,NA,NA,2799,1.103,1897,1.36,NA,NA,192.6,1.457
bepridil,0,3318,0.5962,NA,NA,NA,NA,2626,0.9595,1948,1.29,NA,NA,120.4,1.263
bepridil,0,2394,0.611,NA,NA,NA,NA,2772,1.595,1948,1.353,NA,NA,125,0.5977
bepridil,0,2595,0.7116,NA,NA,NA,NA,2953,1.595,1645,1.308,NA,NA,187.9,0.8677
bepridil,0,2861,0.644,NA,NA,NA,NA,3384,0.9985,1742,1.457,NA,NA,136.3,0.8556
bepridil,0,3663,0.6506,NA,NA,NA,NA,3181,1.08,1667,1.322,NA,NA,146.7,0.5976
bepridil,0,2968,0.7046,NA,NA,NA,NA,3062,1.03,1722,1.47,NA,NA,154.7,0.9101
bepridil,0,3534,0.4645,NA,NA,NA,NA,3395,1.219,1703,1.518,NA,NA,128.3,1.038
bepridil,0,2612,0.7285,NA,NA,NA,NA,2541,1.45,1685,1.306,NA,NA,157.1,1.25
bepridil,0,8969,0.2843,NA,NA,NA,NA,3032,1.536,1874,1.343,NA,NA,128.7,0.8469
bepridil,0,5110,0.5567,NA,NA,NA,NA,2572,1.137,1961,1.351,NA,NA,156.1,0.8319
bepridil,0,3267,0.5437,NA,NA,NA,NA,3068,1.113,2023,1.291,NA,NA,124.3,0.8642
bepridil,0,1939,0.7433,NA,NA,NA,NA,2965,1.045,1661,1.512,NA,NA,66.84,0.6162
bepridil,0,2040,0.6777,NA,NA,NA,NA,2930,1.305,1871,1.722,NA,NA,58.07,0.7971
bepridil,0,3136,0.5934,NA,NA,NA,NA,2948,1.117,1668,1.304,NA,NA,116.8,0.886
bepridil,0,3117,0.674,NA,NA,NA,NA,2778,1.619,1757,1.497,NA,NA,151.1,1.104
bepridil,0,2170,0.7452,NA,NA,NA,NA,3047,1.078,1901,1.154,NA,NA,183.8,1.295
bepridil,0,2985,0.6535,NA,NA,NA,NA,3612,0.9362,1692,1.422,NA,NA,117.6,2.022
bepridil,0,3883,0.6364,NA,NA,NA,NA,3252,1.204,1765,1.381,NA,NA,135.8,1.423
bepridil,0,2659,0.7514,NA,NA,NA,NA,2181,1.308,1775,1.442,NA,NA,181,2.303
bepridil,0,2698,0.7444,NA,NA,NA,NA,3082,1.43,1830,1.244,NA,NA,121.7,0.7929
bepridil,0,2486,0.7127,NA,NA,NA,NA,2902,0.956,1883,1.09,NA,NA,130.3,0.7466
bepridil,0,3481,0.5469,NA,NA,NA,NA,2806,1.484,1866,1.164,NA,NA,140.2,0.8203
bepridil,0,2818,0.6235,NA,NA,NA,NA,2604,1.276,1678,1.483,NA,NA,146.3,1.287
bepridil,0,2168,0.9843,NA,NA,NA,NA,2815,1.405,1837,1.285,NA,NA,161.7,0.6272
bepridil,0,3857,0.4351,NA,NA,NA,NA,2858,1.304,1609,1.313,NA,NA,229.6,0.8259
bepridil,0,3196,0.6472,NA,NA,NA,NA,2909,1.068,1867,1.585,NA,NA,194.7,0.8846
bepridil,0,7036,0.5053,NA,NA,NA,NA,2709,1.016,1682,1.394,NA,NA,183.8,1.123
bepridil,0,2808,0.6478,NA,NA,NA,NA,3551,0.8976,1774,1.321,NA,NA,148.1,0.5654
bepridil,0,2604,0.7916,NA,NA,NA,NA,2838,1.026,1939,1.363,NA,NA,165.3,0.9826
bepridil,0,2529,0.6944,NA,NA,NA,NA,3351,1.036,1789,1.528,NA,NA,149.3,1.291
bepridil,0,2482,0.7801,NA,NA,NA,NA,3043,1.209,1936,1.493,NA,NA,176.4,1.333
bepridil,0,4291,0.5702,NA,NA,NA,NA,3223,0.9651,1704,1.332,NA,NA,200.2,0.8371
bepridil,0,2762,0.6711,NA,NA,NA,NA,2871,1.016,2106,1.423,NA,NA,183.7,0.8962
bepridil,0,3297,0.5556,NA,NA,NA,NA,2810,1.095,1978,1.211,NA,NA,178.8,1.338
bepridil,0,1596,0.7569,NA,NA,NA,NA,2881,1.255,1693,1.222,NA,NA,155.7,0.9086
bepridil,0,2349,0.7396,NA,NA,NA,NA,3026,1.373,1679,1.506,NA,NA,124.7,0.7223
bepridil,0,3074,0.6971,NA,NA,NA,NA,3048,1.027,1876,1.417,NA,NA,136.1,0.6993
bepridil,0,2728,0.6186,NA,NA,NA,NA,3034,1.488,1955,1.649,NA,NA,123.6,1.03
bepridil,0,4066,0.5803,NA,NA,NA,NA,2858,1.889,1700,1.37,NA,NA,110.1,0.5015
bepridil,0,3003,0.5937,NA,NA,NA,NA,3577,1.004,1704,1.402,NA,NA,109.4,0.8185
