drug_name,conc,ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
terfenadine,4,746,0.6679,NA,NA,NA,NA,1174,4.32,43190,0.4728,NA,NA,13.71,0.8528
terfenadine,4,706.9,0.6579,NA,NA,NA,NA,1123,5.149,17940,0.6615,NA,NA,13.26,0.7572
terfenadine,4,653.2,0.6825,NA,NA,NA,NA,1212,5.179,25260,0.5663,NA,NA,10.88,1.06
terfenadine,4,657.1,0.6745,NA,NA,NA,NA,1143,5.183,12800,0.7547,NA,NA,14.78,0.5062
terfenadine,4,665,0.6841,NA,NA,NA,NA,1976,2.232,7561,0.73,NA,NA,14.24,0.6275
terfenadine,4,689,0.6811,NA,NA,NA,NA,1659,2.257,5402,1.031,NA,NA,22.29,0.5504
terfenadine,4,656,0.6301,NA,NA,NA,NA,1265,3.871,55670,0.5256,NA,NA,18.54,0.584
terfenadine,4,739.7,0.6539,NA,NA,NA,NA,1072,6.857,60180,0.4436,NA,NA,14.36,0.5143
terfenadine,4,637.7,0.7079,NA,NA,NA,NA,1044,6.652,64380,0.4695,NA,NA,21.44,0.6794
terfenadine,4,624.3,0.7179,NA,NA,NA,NA,1049,5.715,44300,0.5314,NA,NA,18.54,0.8029
terfenadine,4,653.6,0.8271,NA,NA,NA,NA,1177,5.394,15380,0.6863,NA,NA,25.65,0.5172
terfenadine,4,623.4,0.6848,NA,NA,NA,NA,3272,1.089,28230,0.5697,NA,NA,15.03,0.5711
terfenadine,4,651.6,0.6565,NA,NA,NA,NA,2880,1.264,133300,0.4151,NA,NA,19.95,0.5995
terfenadine,4,647.6,0.6654,NA,NA,NA,NA,1947,2.04,7248,0.8468,NA,NA,18.19,0.6221
terfenadine,4,676.2,0.7283,NA,NA,NA,NA,4746,1.018,17600,0.6172,NA,NA,30.93,0.6635
terfenadine,4,724.7,0.6372,NA,NA,NA,NA,4970,1.017,17210,0.6435,NA,NA,15,0.6642
terfenadine,4,690.3,0.6675,NA,NA,NA,NA,2070,1.92,20780,0.6215,NA,NA,15.51,0.5899
terfenadine,4,711.6,0.6716,NA,NA,NA,NA,1504,2.85,9493,0.6411,NA,NA,17.75,0.4534
terfenadine,4,745.5,0.6494,NA,NA,NA,NA,1219,3.7,25060,0.5733,NA,NA,15.36,0.5171
terfenadine,4,755.7,0.6631,NA,NA,NA,NA,2082,1.887,31260,0.5464,NA,NA,17.54,0.5699
terfenadine,4,746.1,0.6472,NA,NA,NA,NA,3452,1.252,31860,0.4999,NA,NA,24.85,0.8037
terfenadine,4,651.3,0.6902,NA,NA,NA,NA,4848,1.196,33730,0.5501,NA,NA,17.48,0.5013
terfenadine,4,749,0.6564,NA,NA,NA,NA,4168,1.033,62930,0.4643,NA,NA,19.61,0.5358
terfenadine,4,766.1,0.7015,NA,NA,NA,NA,1668,3.016,12180,0.6882,NA,NA,28.89,0.6664
terfenadine,4,690,0.6957,NA,NA,NA,NA,2632,1.569,13650,0.7113,NA,NA,11.26,0.5643
terfenadine,4,612,0.6724,NA,NA,NA,NA,3071,1.28,10870,0.7229,NA,NA,17.07,0.5925
terfenadine,4,725.9,0.6668,NA,NA,NA,NA,2278,2.164,42770,0.5087,NA,NA,20.69,0.5436
terfenadine,4,773.3,0.6259,NA,NA,NA,NA,2551,1.671,33850,0.5265,NA,NA,21.08,0.5448
terfenadine,4,756.3,0.684,NA,NA,NA,NA,2285,1.889,13600,0.6485,NA,NA,26.09,0.6071
terfenadine,4,637.8,0.6572,NA,NA,NA,NA,4552,0.9248,20840,0.5283,NA,NA,25.2,0.5023
terfenadine,4,685.4,0.6573,NA,NA,NA,NA,1744,2.327,8686,0.7584,NA,NA,23.7,0.5776
terfenadine,4,722.8,0.6326,NA,NA,NA,NA,2030,1.878,8330,0.8109,NA,NA,18.1,0.5806
terfenadine,4,746.2,0.6278,NA,NA,NA,NA,1764,2.428,13760,0.692,NA,NA,17.36,0.5566
terfenadine,4,700,0.6293,NA,NA,NA,NA,1943,2.22,8918,0.8016,NA,NA,18.17,0.5185
terfenadine,4,756.8,0.6595,NA,NA,NA,NA,1666,2.243,10370,0.7519,NA,NA,16.86,0.5408
terfenadine,4,683.9,0.6079,NA,NA,NA,NA,2465,1.511,7879,0.847,NA,NA,17.27,0.9132
terfenadine,4,694.6,0.6615,NA,NA,NA,NA,1375,3.207,9411,0.803,NA,NA,13.61,0.6186
terfenadine,4,649.6,0.751,NA,NA,NA,NA,1781,2.428,37470,0.508,NA,NA,14.7,0.5444
terfenadine,4,732.4,0.639,NA,NA,NA,NA,1381,3.06,19030,0.6015,NA,NA,27.19,0.4495
terfenadine,4,636.7,0.6671,NA,NA,NA,NA,1253,3.339,15410,0.6011,NA,NA,24.72,0.5527
terfenadine,4,743.3,0.6377,NA,NA,NA,NA,2113,1.763,5657,0.7836,NA,NA,9.432,0.6431
terfenadine,4,675.2,0.7003,NA,NA,NA,NA,1872,2.069,74350,0.4681,NA,NA,22.88,0.6935
terfenadine,4,757.4,0.6935,NA,NA,NA,NA,1167,5.408,16910,0.5849,NA,NA,16.58,0.6765
terfenadine,4,717.5,0.6538,NA,NA,NA,NA,3534,1.142,44110,0.498,NA,NA,17.64,0.6339
