drug_name,conc,ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
verapamil,81,268.7,0.9954,NA,NA,NA,NA,29590,1.568,139300000,2.918,NA,NA,527.1,1.159
verapamil,81,201.5,0.982,NA,NA,NA,NA,8980000,8.462,3.00E+09,8.422,NA,NA,635.2,0.9935
verapamil,81,196.8,1.325,NA,NA,NA,NA,6419000,4.698,1.77E+09,6.514,NA,NA,459.2,1.475
verapamil,81,192.5,1.015,NA,NA,NA,NA,39490,3.358,439600000,6.403,NA,NA,502.9,1.104
verapamil,81,189,0.8377,NA,NA,NA,NA,568500000,8.703,503800,7.924,NA,NA,556.4,0.9816
verapamil,81,194.8,1.163,NA,NA,NA,NA,7181,2.712,16640000,7.242,NA,NA,543.5,1.173
verapamil,81,198.3,1.182,NA,NA,NA,NA,8229000,4.605,1.95E+08,1.485,NA,NA,569.2,0.9965
verapamil,81,171.3,1.065,NA,NA,NA,NA,469800000,3.727,41030000,0.5318,NA,NA,514.3,1.275
verapamil,81,233.1,1.253,NA,NA,NA,NA,8.81E+09,7.079,1200000,0.3776,NA,NA,513.5,1.271
verapamil,81,214.5,1.278,NA,NA,NA,NA,159100000,8.959,1200000,0.3776,NA,NA,498,1.259
verapamil,81,180.4,1.122,NA,NA,NA,NA,12430000,0.6402,147700000,5.616,NA,NA,472.1,1.063
verapamil,81,197.3,1.274,NA,NA,NA,NA,3454000,0.6237,6320,4.625,NA,NA,483.6,1.12
verapamil,81,177.6,1.038,NA,NA,NA,NA,3454000,0.6237,2453,7.588,NA,NA,472.9,1.023
verapamil,81,196.6,0.9784,NA,NA,NA,NA,3454000,0.6237,7640,4.806,NA,NA,547.4,0.8012
verapamil,81,184.8,0.9113,NA,NA,NA,NA,778300,0.8119,25770000,4.239,NA,NA,500.3,1.03
verapamil,81,187.8,1.386,NA,NA,NA,NA,17520000,8.805,6280,0.852,NA,NA,531.6,1.236
verapamil,81,214.5,1.494,NA,NA,NA,NA,49290,1.593,80010,0.5977,NA,NA,501.1,1.207
verapamil,81,199.7,1.294,NA,NA,NA,NA,152900,1.168,16890,1.184,NA,NA,510.6,1.279
verapamil,81,170.2,1.163,NA,NA,NA,NA,1047000,0.7677,32950000,9.056,NA,NA,450,1.081
verapamil,81,218.7,0.9643,NA,NA,NA,NA,1047000,0.7677,379400000,1.653,NA,NA,456.2,1.031
verapamil,81,237.3,1.19,NA,NA,NA,NA,1777000,5.462,2139,4.499,NA,NA,499.3,1.073
verapamil,81,188.6,1.155,NA,NA,NA,NA,59170000,4.592,10100000,5.409,NA,NA,482.5,1.295
verapamil,81,192.4,1.054,NA,NA,NA,NA,59200000,9.58,4638,5.36,NA,NA,526,1.172
verapamil,81,196.8,0.8452,NA,NA,NA,NA,190300000,7.652,129300000,4.221,NA,NA,549.4,1.102
verapamil,81,201.7,0.8348,NA,NA,NA,NA,1160000,4.106,923400,3.236,NA,NA,477.6,1.055
verapamil,81,186.5,1.083,NA,NA,NA,NA,5.20E+09,3.723,1.29E+09,9.186,NA,NA,479.9,1.101
verapamil,81,214.6,1.167,NA,NA,NA,NA,5864000,0.8281,4411000,2.824,NA,NA,493.1,1.137
verapamil,81,208.2,1.672,NA,NA,NA,NA,135100,5.951,1.05E+09,9.321,NA,NA,421.4,1.05
verapamil,81,205.4,1.087,NA,NA,NA,NA,3751,4.818,557100000,0.2564,NA,NA,502.9,1.242
verapamil,81,215.4,1.181,NA,NA,NA,NA,12070,2.071,11670000,1.375,NA,NA,444.1,0.9947
verapamil,81,214.1,1.143,NA,NA,NA,NA,14030,1.939,5033,1.292,NA,NA,554.9,0.9806
verapamil,81,200.9,1.092,NA,NA,NA,NA,763300,6.437,28070,0.9884,NA,NA,493.5,0.9986
verapamil,81,192.1,0.9802,NA,NA,NA,NA,1312000,7.622,11440,3.092,NA,NA,394.4,1.067
verapamil,81,206.4,1.202,NA,NA,NA,NA,100200,2.082,828900000,0.6805,NA,NA,510.3,1.206
verapamil,81,188.2,1.244,NA,NA,NA,NA,3.94E+09,3.274,4822,1.302,NA,NA,463.9,1.075
verapamil,81,225.9,0.9746,NA,NA,NA,NA,8354,5.564,3256,1.313,NA,NA,435.1,1.157
verapamil,81,218,1.093,NA,NA,NA,NA,172100000,6.26,3596,1.284,NA,NA,561,0.9663
verapamil,81,225.4,1.159,NA,NA,NA,NA,210500,3.053,1705,4.934,NA,NA,502.8,1.255
verapamil,81,181.6,1.355,NA,NA,NA,NA,3450,4.472,39170,0.4209,NA,NA,506,1.125
verapamil,81,206,1.213,NA,NA,NA,NA,6883,2.914,1718000,4.52,NA,NA,508,1.189
verapamil,81,223,1.195,NA,NA,NA,NA,5046,5.578,79460,1.312,NA,NA,512.5,1.056
verapamil,81,187.7,0.9209,NA,NA,NA,NA,3.01E+09,6.893,695300,4.263,NA,NA,461.3,1.284
verapamil,81,149.9,1,NA,NA,NA,NA,872500000,0.3682,132700,3.544,NA,NA,450.2,1.181
verapamil,81,188.4,1.062,NA,NA,NA,NA,8.35E+09,0.3618,512500,4.607,NA,NA,545.8,1.081
verapamil,81,202,1.389,NA,NA,NA,NA,20030000,0.6375,183600000,5.923,NA,NA,495.9,1.055
verapamil,81,187.3,1.207,NA,NA,NA,NA,1.86E+09,0.6217,2156000,2.914,NA,NA,520.6,1.026
verapamil,81,196.3,0.949,NA,NA,NA,NA,9961000,5.198,155700,9.854,NA,NA,455.5,1.069
verapamil,81,211.3,1.022,NA,NA,NA,NA,2.71E+08,7.437,3.31E+08,1.625,NA,NA,512,1.113
verapamil,81,206.5,1.081,NA,NA,NA,NA,536500000,6.076,1863,3.434,NA,NA,449.5,1.039
verapamil,81,187.4,0.983,NA,NA,NA,NA,4390000,1.442,1863,3.434,NA,NA,444,1.23
verapamil,81,187.7,1.284,NA,NA,NA,NA,162600,1.72,2065,2.243,NA,NA,528.7,1.083
verapamil,81,209.8,0.9757,NA,NA,NA,NA,14230,4.806,2065,2.243,NA,NA,529.7,1.205
verapamil,81,241.7,1.451,NA,NA,NA,NA,2.85E+09,8.876,2410,2.664,NA,NA,527.8,1.454
verapamil,81,274.4,0.9838,NA,NA,NA,NA,1049000,9.501,2832,2.465,NA,NA,498,1.131
verapamil,81,251.4,1.236,NA,NA,NA,NA,6.65E+09,2.146,4576,1.673,NA,NA,543.2,1.122
verapamil,81,190.2,1.135,NA,NA,NA,NA,611300000,6.937,4389,1.2,NA,NA,505.6,1.019
verapamil,81,216.6,1.058,NA,NA,NA,NA,1.50E+09,9.133,5538,1.227,NA,NA,451.6,1.002
verapamil,81,213.7,1.012,NA,NA,NA,NA,48010,9.367,3676,1.743,NA,NA,539.3,0.9445
verapamil,81,209.1,1.234,NA,NA,NA,NA,734600,2.021,119100,8.714,NA,NA,549.3,1.352
verapamil,81,218.8,1.143,NA,NA,NA,NA,232200000,2.343,1.78E+09,5.387,NA,NA,528.4,1.272
verapamil,81,222,1.059,NA,NA,NA,NA,968300000,1.015,1.69E+09,0.1933,NA,NA,452.7,1.041
verapamil,81,202.2,1.16,NA,NA,NA,NA,5.42E+09,6.257,9006,1.526,NA,NA,477.2,1.079
verapamil,81,222.2,1.019,NA,NA,NA,NA,300300000,0.5965,46230,0.7318,NA,NA,426.3,1.027
verapamil,81,205.9,1.014,NA,NA,NA,NA,1839,8.281,12180,0.8992,NA,NA,453.9,1.077
verapamil,81,235.7,0.815,NA,NA,NA,NA,35560,7.398,2622,2.043,NA,NA,506.2,1.233
verapamil,81,262.3,0.7959,NA,NA,NA,NA,14970,8.513,816700000,8.599,NA,NA,491,1.093
verapamil,81,199.7,1.097,NA,NA,NA,NA,1.18E+09,0.9546,3001,1.713,NA,NA,510,1.315
verapamil,81,227.7,1.073,NA,NA,NA,NA,286500000,6.87,1872,2.749,NA,NA,457.9,1.118
verapamil,81,192.5,1.171,NA,NA,NA,NA,341200,5.742,1872,2.749,NA,NA,533.3,1.09
verapamil,81,234.4,1.295,NA,NA,NA,NA,103000,8.117,1872,2.749,NA,NA,535,0.962
verapamil,81,170.8,1.156,NA,NA,NA,NA,8843,2.28,1.04E+09,6.594,NA,NA,502.4,1.09
verapamil,81,204.6,0.9717,NA,NA,NA,NA,32780000,9.077,13870000,8.404,NA,NA,469.6,1.08
verapamil,81,191.4,1.16,NA,NA,NA,NA,9.71E+09,1.001,5878,3.543,NA,NA,497.3,1.226
verapamil,81,164.4,1.187,NA,NA,NA,NA,12290000,1.36,143800,9.794,NA,NA,507.4,1.222
verapamil,81,208.8,1.015,NA,NA,NA,NA,1.89E+09,8.131,30050,0.6713,NA,NA,545.5,1.129
verapamil,81,213.4,1.087,NA,NA,NA,NA,7.13E+09,0.8337,37440,1.705,NA,NA,474.5,0.9254
verapamil,81,220.2,1.069,NA,NA,NA,NA,69540,6.354,3138000,2.605,NA,NA,536.4,0.9562
verapamil,81,210.9,0.8904,NA,NA,NA,NA,16740,9.747,1.33E+09,1.302,NA,NA,453.5,0.921
verapamil,81,196.7,0.9974,NA,NA,NA,NA,1806,8.612,2750,6.582,NA,NA,370.4,1.016
verapamil,81,204.6,1.07,NA,NA,NA,NA,54060,3.714,2967000,7.443,NA,NA,445.8,1.152
verapamil,81,228.7,1.355,NA,NA,NA,NA,47190000,0.4746,56950,0.4704,NA,NA,471.8,1.198
verapamil,81,230.7,1.433,NA,NA,NA,NA,8296,2.213,6343,2.044,NA,NA,501.2,1.101
verapamil,81,208.4,1.057,NA,NA,NA,NA,6575,2.874,10090000,0.3775,NA,NA,450.3,1.031
verapamil,81,210.5,1.218,NA,NA,NA,NA,1.32E+09,7.612,31940,1.153,NA,NA,477.6,1.217
verapamil,81,187.5,1.113,NA,NA,NA,NA,4460,7.724,38110000,0.2502,NA,NA,492.3,1.406
verapamil,81,208.9,1.239,NA,NA,NA,NA,787700000,5.929,50190000,0.2186,NA,NA,515.3,0.9592
verapamil,81,203.7,1.183,NA,NA,NA,NA,19520000,6.863,14010,0.9963,NA,NA,613,1.069
verapamil,81,245.5,0.9058,NA,NA,NA,NA,38810,5.412,2823,1.885,NA,NA,487.6,1.073
